Propertyid,Property Address,Type,Purpose,Area (in Sq. Yd.),Bedroom,Bathroom,Price
45138796,"DHA Phase 2, DHA Defence, Karachi, Sindh",House,For Sale,1000,3,3,165000000
45138793,"DHA Phase 2, DHA Defence, Karachi, Sindh",House,For Sale,1000,3,3,165000000
45115440,"DHA Phase 5, DHA Defence, Karachi, Sindh",House,For Sale,1000,3,3,185000000
45140740,"Capital Cooperative Housing Society, Scheme 33 - Sector 35-A, Scheme 33, Karachi, Sindh",House,For Sale,120,4,5,25500000
45138819,"University Road, Karachi, Sindh",Flat,For Sale,143,3,3,14900000
45138818,"University Road, Karachi, Sindh",Flat,For Sale,143,3,3,14900000
45138810,"University Road, Karachi, Sindh",Flat,For Sale,143,3,3,14900000
45138324,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar, Karachi, Sindh",Flat,For Sale,144,3,3,11000000
45065725,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",House,For Sale,152,3,3,16500000
45065732,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",House,For Sale,152,3,3,19000000
44274178,"Emaar Pearl Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",Flat,For Sale,182,2,3,57500000
43059392,"Emaar Pearl Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",Flat,For Sale,389,2,3,150000000
44107797,"Emaar Pearl Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",Flat,For Sale,181,2,3,60000000
44752861,"Emaar Pearl Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",Flat,For Sale,182,2,3,64000000
44753093,"Emaar Pearl Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",Flat,For Sale,180,2,3,66000000
45139705,"Bahria Town - Precinct 27, Bahria Town Karachi, Karachi, Sindh",House,For Sale,235,3,3,17000000
45139717,"Bahria Town - Precinct 31, Bahria Town Karachi, Karachi, Sindh",House,For Sale,235,3,3,16000000
45141057,"Capital Cooperative Housing Society, Scheme 33 - Sector 35-A, Scheme 33, Karachi, Sindh",House,For Sale,240,6,6,47000000
45138667,"Bath Island, Karachi, Sindh",Flat,For Sale,267,4,4,82500000
45138674,"Bath Island, Karachi, Sindh",Flat,For Sale,289,4,4,65000000
44753128,"Emaar Pearl Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",Flat,For Sale,300,2,3,93000000
44656210,"Model Colony - Malir, Malir, Karachi, Sindh",Flat,For Sale,139,3,3,14000000
44777993,"Emaar Coral Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",Flat,For Sale,237,3,4,52500000
45066197,"Bahria Town - Precinct 35, Bahria Sports City, Bahria Town Karachi, Karachi, Sindh",House,For Sale,350,4,4,21000000
42163035,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",House,For Sale,375,5,5,69500000
45138341,"Gulistan-e-Jauhar - Block 18, Gulistan-e-Jauhar, Karachi, Sindh",Flat,For Sale,78,3,3,4000000
45138803,"University Road, Karachi, Sindh",Flat,For Sale,87,3,3,9000000
45139693,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",House,For Sale,200,3,3,18500000
45138814,"University Road, Karachi, Sindh",Flat,For Sale,143,3,3,14900000
45138815,"University Road, Karachi, Sindh",Flat,For Sale,143,3,3,14900000
45139707,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",House,For Sale,152,3,3,21500000
45138370,"Gulistan-e-Jauhar - Block 12, Gulistan-e-Jauhar, Karachi, Sindh",Upper Portion,For Sale,160,3,3,13500000
43740196,"Oak Residency, Malir, Karachi, Sindh",House,For Sale,120,3,4,25000000
45138808,"University Road, Karachi, Sindh",Flat,For Sale,87,3,3,9000000
43697031,"Shahra-e-Faisal, Karachi, Sindh",Flat,For Sale,189,3,3,22500000
45139718,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",House,For Sale,152,3,3,21000000
45065987,"Bahria Town - Ali Block, Bahria Town - Precinct 12, Bahria Town Karachi, Karachi, Sindh",House,For Sale,125,3,3,15000000
45139715,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",House,For Sale,200,3,3,18500000
45139626,"Bahria Apartments, Bahria Town Karachi, Karachi, Sindh",Flat,For Sale,250,3,3,20000000
45065736,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",House,For Sale,152,3,3,16500000
45138797,"DHA Phase 2, DHA Defence, Karachi, Sindh",House,For Sale,1000,3,3,165000000
44782168,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",Flat,For Sale,300,3,4,39000000
44745939,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",House,For Sale,375,5,6,69500000
44746317,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",House,For Sale,375,5,6,67000000
44493513,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar, Karachi, Sindh",House,For Sale,600,7,6,75000000
45139116,"Clifton - Block 5, Clifton, Karachi, Sindh",House,For Sale,250,4,5,67500000
45138671,"Bath Island, Karachi, Sindh",Flat,For Sale,222,3,3,67500000
45139692,"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi, Sindh",House,For Sale,200,3,3,18500000
44327856,"DHA Phase 6, DHA Defence, Karachi, Sindh",House,For Sale,500,6,6,125000000
44327788,"DHA Phase 6, DHA Defence, Karachi, Sindh",House,For Sale,500,5,5,107500000
44327930,"DHA Phase 7, DHA Defence, Karachi, Sindh",House,For Sale,500,3,3,85000000
44333119,"DHA Phase 8, DHA Defence, Karachi, Sindh",House,For Sale,120,3,3,58000000
44333014,"DHA Phase 8, DHA Defence, Karachi, Sindh",House,For Sale,1000,6,6,420000000
45138804,"University Road, Karachi, Sindh",Flat,For Sale,87,3,3,9000000
45138806,"University Road, Karachi, Sindh",Flat,For Sale,87,3,3,9000000
45138820,"University Road, Karachi, Sindh",Flat,For Sale,143,3,3,14900000
45138366,"Gulistan-e-Jauhar - Block 18, Gulistan-e-Jauhar, Karachi, Sindh",Flat,For Sale,83,3,3,5500000
45138807,"University Road, Karachi, Sindh",Flat,For Sale,87,3,3,9000000
45138669,"Bath Island, Karachi, Sindh",Flat,For Sale,267,4,4,82500000
45139624,"Bahria Apartments, Bahria Town Karachi, Karachi, Sindh",Flat,For Sale,106,2,2,8500000
45139722,"Bahria Paradise, Bahria Town Karachi, Karachi, Sindh",House,For Sale,500,5,5,49000000
43935180,"Saima Jinnah Avenue, Malir, Karachi, Sindh",Flat,For Sale,250,3,4,36000000
45138792,"DHA Phase 2, DHA Defence, Karachi, Sindh",House,For Sale,1000,3,3,165000000
45138798,"DHA Phase 2, DHA Defence, Karachi, Sindh",House,For Sale,1000,3,3,165000000
45066202,"Bahria Town - Precinct 35, Bahria Sports City, Bahria Town Karachi, Karachi, Sindh",House,For Sale,350,4,4,21000000
45065740,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",House,For Sale,152,3,3,14000000
45138466,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",Flat,For Sale,250,3,3,45000000
45139706,"Bahria Town - Precinct 31, Bahria Town Karachi, Karachi, Sindh",House,For Sale,235,3,3,15500000
45139622,"Ilyas Goth, Korangi, Karachi, Sindh",House,For Sale,40,1,1,1600000
45138673,"Bath Island, Karachi, Sindh",Flat,For Sale,333,4,4,65000000
45139724,"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi, Sindh",House,For Sale,200,3,3,19000000
45138812,"University Road, Karachi, Sindh",Flat,For Sale,143,3,3,14900000
45138340,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar, Karachi, Sindh",Flat,For Sale,106,3,3,7000000
45139728,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",House,For Sale,152,3,3,21500000
45138791,"DHA Phase 2, DHA Defence, Karachi, Sindh",House,For Sale,1000,3,3,165000000
44106757,"Emaar Pearl Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",Flat,For Sale,182,2,3,44000000
43958909,"Scheme 33, Karachi, Sindh",Flat,For Sale,300,4,4,22500000
45138333,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar, Karachi, Sindh",Flat,For Sale,144,3,3,11000000
45138362,"Gulistan-e-Jauhar - Block 18, Gulistan-e-Jauhar, Karachi, Sindh",Flat,For Sale,78,3,3,4000000
45138813,"University Road, Karachi, Sindh",Flat,For Sale,143,3,3,14900000
45139702,"Bahria Paradise, Bahria Town Karachi, Karachi, Sindh",House,For Sale,500,5,5,49000000
45139716,"Bahria Town - Precinct 27, Bahria Town Karachi, Karachi, Sindh",House,For Sale,235,3,3,17500000
44255324,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar, Karachi, Sindh",Lower Portion,For Sale,300,3,4,27000000
45138668,"Bath Island, Karachi, Sindh",Flat,For Sale,267,4,4,85000000
45138811,"University Road, Karachi, Sindh",Flat,For Sale,143,3,3,14900000
45139711,"Bahria Sports City, Bahria Town Karachi, Karachi, Sindh",House,For Sale,350,4,4,22000000
45065989,"Bahria Town - Ali Block, Bahria Town - Precinct 12, Bahria Town Karachi, Karachi, Sindh",House,For Sale,125,3,3,15000000
45139714,"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi, Sindh",House,For Sale,200,3,3,18500000
45065728,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",House,For Sale,152,3,3,14000000
45138805,"University Road, Karachi, Sindh",Flat,For Sale,87,3,3,9000000
45139713,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",House,For Sale,200,3,3,23500000
45139709,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",House,For Sale,152,3,3,18000000
45139628,"Bahria Apartments, Bahria Town Karachi, Karachi, Sindh",Flat,For Sale,106,2,2,8500000
45138821,"University Road, Karachi, Sindh",Flat,For Sale,143,3,3,14900000
45138816,"University Road, Karachi, Sindh",Flat,For Sale,143,3,3,14900000
45138809,"University Road, Karachi, Sindh",Flat,For Sale,87,3,3,9000000
45140750,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",House,For Sale,152,3,3,19000000
45140696,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",House,For Sale,152,3,3,17000000
45139710,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",House,For Sale,152,3,3,16000000
45138794,"DHA Phase 2, DHA Defence, Karachi, Sindh",House,For Sale,1000,3,3,165000000
45138560,"Askari 6, Malir Cantonment, Cantt, Karachi, Sindh",House,For Sale,375,5,5,62000000
45139623,"Bahria Apartments, Bahria Town Karachi, Karachi, Sindh",Flat,For Sale,106,2,2,7500000
45139712,"Bahria Paradise, Bahria Town Karachi, Karachi, Sindh",House,For Sale,500,5,5,48000000
44417617,"Sanober Twin Tower, Saadi Road, Karachi, Sindh",Flat,For Sale,133,2,3,8500000
37432347,"Falaknaz Presidency, Malir, Karachi, Sindh",Flat,For Sale,83,2,2,6600000
41595506,"Rafi Premier Residency, Scheme 33, Karachi, Sindh",Flat,For Sale,161,3,2,14500000
44069871,"Rafi Premier Residency, Scheme 33, Karachi, Sindh",Flat,For Sale,161,3,2,14500000
45154542,"Saima Jinnah Avenue, Malir, Karachi, Sindh",Flat,For Sale,244,3,5,45000000
45154737,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Upper Portion,For Sale,120,2,2,15000000
44571323,"DHA Phase 6, DHA Defence, Karachi, Sindh",House,For Sale,1000,6,6,250000000
45154946,"DHA Phase 7 Extension, DHA Defence, Karachi, Sindh",House,For Sale,100,3,3,43500000
45152185,"North Nazimabad - Block I, North Nazimabad, Karachi, Sindh",Upper Portion,For Sale,110,2,2,10000000
40427647,"Capital Cooperative Housing Society, Scheme 33 - Sector 35-A, Scheme 33, Karachi, Sindh",House,For Sale,120,4,5,26000000
43706333,"Garden East, Jamshed Town, Karachi, Sindh",House,For Sale,160,5,5,52500000
45152186,"North Nazimabad - Block I, North Nazimabad, Karachi, Sindh",Upper Portion,For Sale,150,3,3,14000000
45153751,"Gulistan-e-Jauhar - Block 16, Gulistan-e-Jauhar, Karachi, Sindh",Flat,For Sale,167,2,3,13000000
45152772,"Amil Colony, Karachi, Sindh",Flat,For Sale,183,4,4,36500000
44906878,"Gulistan-e-Jauhar - Block 16, Gulistan-e-Jauhar, Karachi, Sindh",Flat,For Sale,111,2,2,8800000
44609090,"Korangi, Karachi, Sindh",Flat,For Sale,83,2,2,3700000
44608784,"Korangi Creek Cantonment, Korangi, Karachi, Sindh",Flat,For Sale,83,2,2,3700000
45152108,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Flat,For Sale,106,2,2,7300000
43702938,"Scheme 33, Karachi, Sindh",Flat,For Sale,100,2,2,5000000
44945793,"Saima Jinnah Avenue, Malir, Karachi, Sindh",Flat,For Sale,144,2,3,21500000
43277128,"Nishat Commercial Area, DHA Phase 6, DHA Defence, Karachi, Sindh",Flat,For Sale,111,2,2,9500000
44475666,"DHA Phase 2 Extension, DHA Defence, Karachi, Sindh",Flat,For Sale,106,2,2,6700000
44962890,"Gulistan-e-Jauhar - Block 16, Gulistan-e-Jauhar, Karachi, Sindh",Flat,For Sale,111,2,2,8500000
44257255,"Noman Residencia, Scheme 33, Karachi, Sindh",Flat,For Sale,122,2,2,9800000
43473050,"Saima Presidency, Malir Cantonment, Cantt, Karachi, Sindh",Flat,For Sale,122,2,2,14500000
44994046,"Gulistan-e-Jauhar - Block 16-A, Gulistan-e-Jauhar, Karachi, Sindh",Flat,For Sale,267,2,2,15000000
45154932,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",House,For Sale,200,3,4,22000000
45154933,"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi, Sindh",House,For Sale,200,3,4,17000000
45152606,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Lower Portion,For Sale,200,3,3,23500000
43150045,"Garden East, Jamshed Town, Karachi, Sindh",Flat,For Sale,222,4,4,35000000
45154936,"Bahria Town - Precinct 31, Bahria Town Karachi, Karachi, Sindh",House,For Sale,235,3,4,13500000
44367591,"Capital Cooperative Housing Society, Scheme 33 - Sector 35-A, Scheme 33, Karachi, Sindh",House,For Sale,240,6,6,49000000
44960743,"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar, Karachi, Sindh",House,For Sale,240,6,6,54000000
44046366,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Upper Portion,For Sale,240,3,3,26000000
44721359,"PECHS Block 3, PECHS, Jamshed Town, Karachi, Sindh",House,For Sale,250,4,4,85000000
45152911,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",Flat,For Sale,289,3,3,41000000
45155001,"North Nazimabad - Block H, North Nazimabad, Karachi, Sindh",Flat,For Sale,111,2,2,14000000
40758070,"Gulshan-e-Iqbal - Block 13/A, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Upper Portion,For Sale,240,3,3,30000000
44945817,"Saima Jinnah Avenue, Malir, Karachi, Sindh",House,For Sale,244,3,4,32000000
36305040,"Saima Jinnah Avenue, Malir, Karachi, Sindh",Flat,For Sale,250,3,4,31000000
43976268,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar, Karachi, Sindh",Flat,For Sale,167,3,3,16000000
42846557,"Rafi Premier Residency, Scheme 33, Karachi, Sindh",Flat,For Sale,194,3,4,18000000
36253221,"Sohni Golf View Apartments, Gulshan-e-Roomi, Faisal Cantonment, Cantt, Karachi, Sindh",Flat,For Sale,194,3,4,16000000
43386242,"Garden West, Karachi, Sindh",Flat,For Sale,128,3,3,13500000
43916166,"Korangi Road, Korangi, Karachi, Sindh",Flat,For Sale,83,2,2,3700000
42406442,"Bufferzone - Sector 15-A/4, Buffer Zone, North Karachi, Karachi, Sindh",House,For Sale,120,2,2,20500000
42003111,"Rahat Commercial Area, DHA Phase 6, DHA Defence, Karachi, Sindh",Flat,For Sale,233,3,4,23500000
45152618,"DHA Phase 6, DHA Defence, Karachi, Sindh",House,For Sale,300,4,4,75000000
44435758,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar, Karachi, Sindh",Lower Portion,For Sale,350,3,3,26000000
36253161,"Tulip Tower, Saadi Road, Karachi, Sindh",Flat,For Sale,400,4,6,27000000
40479533,"Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",Flat,For Sale,289,3,3,35500000
44663177,"Gulistan-e-Jauhar - Block 10, Gulistan-e-Jauhar, Karachi, Sindh",Flat,For Sale,300,4,4,18500000
45154806,"Gulistan-e-Jauhar - Block 3-A, Gulistan-e-Jauhar, Karachi, Sindh",Flat,For Sale,244,4,4,19900000
44273939,"Lateef Duplex Luxuria, Scheme 33 - Sector 35-A, Scheme 33, Karachi, Sindh",Flat,For Sale,300,4,5,22000000
43761370,"Shaheed Millat Road, Karachi, Sindh",Flat,For Sale,222,4,4,42500000
42950628,"Gulshan-e-Iqbal - Block 13/A, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Flat,For Sale,194,4,4,16500000
44770398,"Creek Vista, DHA Phase 8, DHA Defence, Karachi, Sindh",Flat,For Sale,418,4,5,82500000
44149307,"Amil Colony, Karachi, Sindh",Flat,For Sale,211,4,4,42500000
45116538,"Gulistan-e-Jauhar - Block 3, Gulistan-e-Jauhar, Karachi, Sindh",Upper Portion,For Sale,400,4,4,32500000
45154877,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar, Karachi, Sindh",House,For Sale,400,6,6,58500000
44643811,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",House,For Sale,400,7,6,79000000
43719889,"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar, Karachi, Sindh",House,For Sale,450,8,8,68500000
44518343,"Garden East, Jamshed Town, Karachi, Sindh",Flat,For Sale,200,4,4,36000000
44840950,"Bahria Paradise, Bahria Town Karachi, Karachi, Sindh",House,For Sale,500,5,5,46000000
45152504,"DHA Phase 6, DHA Defence, Karachi, Sindh",House,For Sale,500,5,5,155000000
45152585,"DHA Phase 6, DHA Defence, Karachi, Sindh",House,For Sale,500,5,5,105000000
45152603,"DHA Phase 6, DHA Defence, Karachi, Sindh",House,For Sale,500,5,5,130000000
43676030,"DHA Phase 8, DHA Defence, Karachi, Sindh",House,For Sale,500,6,6,110000000
45152536,"DHA Phase 6, DHA Defence, Karachi, Sindh",House,For Sale,500,5,5,105000000
44030258,"North Karachi, Karachi, Sindh",Flat,For Sale,70,2,2,3500000
43290512,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar, Karachi, Sindh",House,For Sale,600,7,8,75000000
44411298,"Shaheed Millat Road, Karachi, Sindh",House,For Sale,302,6,6,90000000
45152080,"North Nazimabad - Block D, North Nazimabad, Karachi, Sindh",House,For Sale,200,6,6,55000000
